District,Soil_Type,pH,Nitrogen,Phosphorus,Potassium,Organic_Carbon,Soil_Moisture,Electrical_Conductivity,Crop,Crop_Category,Yield_kg_per_acre
Medak,Black,7.23,168.0,55.0,186.0,0.37,20.4,1.12,Cotton,Plantation,1414.0
Jagtial,Laterite,6.71,195.0,37.0,102.0,0.53,13.2,0.15,Bajra,Cash,603.2
Karimnagar,Alluvial,6.83,214.0,58.0,112.0,0.73,35.9,2.14,Turmeric,Field,1836.1
Adilabad,Laterite,5.55,194.0,27.0,189.0,1.1,14.8,0.38,Cotton,Cash,1429.6
Medak,Alluvial,7.4,223.0,66.0,274.0,0.69,11.6,1.16,Sorghum,Cash,1292.2
Jagtial,Laterite,7.28,201.0,27.0,206.0,0.79,24.7,0.32,Rice,Cash,3470.5
Kamareddy,Alluvial,6.04,154.0,32.0,173.0,0.37,35.3,1.09,Bajra,Cash,575.2
Kamareddy,Laterite,5.75,243.0,33.0,363.0,0.63,23.4,0.95,Castor,Cash,509.4
Mahbubnagar,Red,5.91,268.0,27.0,294.0,1.03,22.4,2.46,Turmeric,Plantation,1867.6
Nizamabad,Alluvial,8.11,267.0,86.0,263.0,0.51,19.0,1.35,Paddy,Plantation,3735.1
Warangal,Black,5.82,279.0,32.0,395.0,1.17,34.3,0.53,Sesame,Field,256.6
Nizamabad,Black,8.19,257.0,78.0,163.0,1.12,37.4,0.35,Bajra,Plantation,687.9
Nalgonda,Laterite,6.9,306.0,21.0,304.0,0.83,33.5,0.49,Sugarcane,Field,61845.2
Medak,Red,8.0,246.0,27.0,172.0,0.78,20.3,1.4,Bajra,Plantation,640.9
Medak,Alluvial,5.6,197.0,30.0,275.0,0.92,11.2,2.86,Black Gram,Plantation,264.4
Jagtial,Alluvial,7.99,302.0,21.0,342.0,0.57,18.4,1.65,Maize,Field,2305.5
Jagtial,Alluvial,7.59,205.0,71.0,274.0,0.38,23.3,2.94,Sesame,Plantation,210.1
Warangal,Laterite,7.72,238.0,31.0,180.0,0.76,14.1,2.75,Rice,Field,3275.7
Khammam,Red,6.17,228.0,84.0,305.0,0.55,34.7,1.69,Maize,Plantation,2412.3
Nalgonda,Alluvial,7.1,180.0,81.0,268.0,0.61,14.9,2.88,Cotton,Cash,1381.0
Adilabad,Black,7.81,283.0,35.0,151.0,0.5,16.2,2.14,Sunflower,Field,495.2
Kamareddy,Red,6.78,172.0,32.0,336.0,0.5,28.3,3.03,Red Gram,Cash,466.6
Nalgonda,Alluvial,6.18,229.0,67.0,344.0,0.66,13.1,1.71,Bengal Gram,Plantation,440.0
Medak,Laterite,6.31,168.0,24.0,396.0,0.88,35.8,0.95,Green Gram,Field,290.0
Khammam,Red,7.67,286.0,62.0,291.0,0.91,31.6,2.15,Green Gram,Cash,353.4
Nizamabad,Alluvial,7.49,249.0,90.0,341.0,0.61,31.4,2.24,Soybean,Plantation,781.2
Mahbubnagar,Black,7.77,299.0,33.0,111.0,0.42,17.8,2.62,Groundnut,Plantation,986.0
Kamareddy,Red,6.1,188.0,81.0,215.0,1.1,21.2,1.94,Castor,Field,555.5
Kamareddy,Red,6.77,183.0,28.0,298.0,0.78,22.4,2.81,Sugarcane,Field,61844.7
Nalgonda,Alluvial,8.17,302.0,89.0,126.0,1.08,15.4,0.4,Black Gram,Plantation,329.8
Nalgonda,Red,5.51,196.0,73.0,134.0,0.99,24.7,2.48,Cotton,Field,1646.9
Kamareddy,Alluvial,6.59,314.0,47.0,92.0,0.48,21.2,0.19,Black Gram,Plantation,283.1
Kamareddy,Red,7.19,192.0,69.0,190.0,0.42,21.5,1.95,Groundnut,Field,1043.8
Mahbubnagar,Laterite,6.73,238.0,57.0,219.0,0.92,14.0,3.19,Soybean,Cash,842.0
Karimnagar,Alluvial,5.55,188.0,89.0,148.0,0.32,25.1,0.53,Paddy,Cash,4000.5
Mahbubnagar,Red,7.1,158.0,28.0,348.0,0.34,13.5,1.51,Maize,Plantation,2069.0
Jagtial,Black,6.05,267.0,21.0,215.0,0.39,25.6,2.05,Sugarcane,Cash,57643.8
Hyderabad,Red,6.26,283.0,55.0,275.0,1.0,34.9,3.12,Bengal Gram,Plantation,465.4
Karimnagar,Red,6.98,305.0,68.0,234.0,0.51,10.4,0.42,Maize,Plantation,2502.8
Karimnagar,Red,7.6,163.0,71.0,370.0,0.88,23.7,3.13,Red Gram,Cash,422.5
Karimnagar,Red,7.8,211.0,67.0,216.0,0.4,35.5,2.87,Rice,Field,3736.6
Karimnagar,Laterite,6.47,224.0,64.0,361.0,0.38,34.4,0.71,Bajra,Cash,762.3
Mahbubnagar,Alluvial,7.36,231.0,50.0,364.0,0.45,14.0,2.37,Groundnut,Field,950.1
Medak,Alluvial,7.67,265.0,33.0,202.0,0.62,10.9,2.24,Sugarcane,Cash,53851.5
Hyderabad,Alluvial,6.69,161.0,66.0,84.0,1.08,25.7,2.42,Turmeric,Plantation,2073.0
Warangal,Red,6.67,274.0,54.0,292.0,0.88,14.5,2.67,Paddy,Field,4193.5
Karimnagar,Alluvial,7.8,298.0,25.0,237.0,0.52,39.1,0.3,Turmeric,Plantation,1818.0
Nizamabad,Black,5.71,226.0,60.0,108.0,0.75,19.5,3.14,Rice,Field,3686.2
Adilabad,Red,7.73,285.0,87.0,284.0,1.1,26.9,2.15,Castor,Cash,552.7
Adilabad,Black,7.78,206.0,74.0,272.0,0.94,20.9,1.53,Maize,Plantation,2571.3
Nalgonda,Laterite,7.74,314.0,40.0,247.0,0.93,11.4,0.65,Sugarcane,Plantation,57912.7
Nizamabad,Red,6.19,183.0,28.0,353.0,0.49,34.7,0.73,Black Gram,Field,305.3
Adilabad,Red,7.58,227.0,66.0,386.0,0.42,25.0,1.77,Paddy,Plantation,4210.6
Medak,Alluvial,8.0,283.0,84.0,301.0,0.46,34.5,0.47,Black Gram,Plantation,312.6
Nizamabad,Black,6.24,314.0,88.0,225.0,0.42,22.4,2.29,Sunflower,Cash,561.2
Warangal,Laterite,7.42,309.0,64.0,144.0,0.86,18.7,1.2,Sugarcane,Plantation,60303.4
Karimnagar,Laterite,7.42,279.0,59.0,266.0,1.15,31.3,2.21,Chilli,Cash,1829.2
Nizamabad,Red,6.91,154.0,30.0,294.0,0.48,32.5,0.64,Green Gram,Plantation,265.8
Adilabad,Laterite,6.05,242.0,45.0,225.0,0.85,30.3,1.86,Turmeric,Plantation,2114.0
Nizamabad,Black,6.88,285.0,69.0,302.0,0.34,21.4,1.42,Black Gram,Plantation,271.3
Jagtial,Laterite,6.05,298.0,80.0,222.0,0.5,29.0,2.31,Bengal Gram,Plantation,459.3
Medak,Black,7.6,314.0,41.0,137.0,0.91,15.6,0.68,Sunflower,Field,507.0
Nizamabad,Laterite,7.0,172.0,61.0,162.0,0.6,31.3,0.62,Sugarcane,Cash,55468.0
Kamareddy,Laterite,6.82,247.0,45.0,331.0,0.59,16.6,0.71,Cotton,Plantation,1451.1
Warangal,Alluvial,5.75,188.0,35.0,186.0,0.62,16.6,2.45,Sunflower,Cash,500.7
Kamareddy,Red,5.81,209.0,37.0,286.0,1.13,17.3,0.27,Black Gram,Cash,328.6
Hyderabad,Alluvial,6.19,273.0,22.0,245.0,0.99,25.4,1.7,Soybean,Field,809.4
Kamareddy,Black,6.36,164.0,27.0,391.0,1.0,26.0,2.06,Sorghum,Plantation,1435.1
Khammam,Alluvial,7.76,185.0,78.0,361.0,0.97,23.1,2.64,Cotton,Plantation,1721.6
Adilabad,Alluvial,7.44,156.0,25.0,137.0,0.53,12.1,2.66,Red Gram,Cash,319.0
Kamareddy,Alluvial,6.67,153.0,67.0,251.0,0.88,28.6,2.46,Paddy,Plantation,4533.0
Nalgonda,Red,6.28,267.0,62.0,170.0,1.13,21.4,2.66,Rice,Cash,3972.8
Khammam,Black,7.52,285.0,79.0,174.0,0.87,18.9,2.86,Bengal Gram,Field,454.8
Warangal,Black,5.83,151.0,62.0,252.0,1.15,19.1,2.43,Bengal Gram,Field,425.2
Kamareddy,Black,5.93,188.0,78.0,142.0,0.46,34.0,2.75,Chilli,Cash,1528.4
Hyderabad,Laterite,7.31,193.0,34.0,266.0,1.16,20.7,2.2,Turmeric,Field,1811.1
Hyderabad,Black,6.36,227.0,63.0,178.0,0.83,27.0,1.26,Black Gram,Cash,310.7
Nalgonda,Black,7.62,271.0,65.0,169.0,0.62,30.4,1.16,Soybean,Cash,797.9
Mahbubnagar,Alluvial,6.99,180.0,62.0,349.0,1.07,14.2,1.79,Red Gram,Plantation,482.3
Hyderabad,Red,7.91,294.0,64.0,340.0,0.82,33.1,0.8,Paddy,Plantation,3864.3
Warangal,Alluvial,7.27,175.0,47.0,365.0,0.83,35.7,0.56,Sunflower,Plantation,491.2
Nalgonda,Red,7.29,294.0,76.0,276.0,0.45,25.4,1.51,Groundnut,Plantation,1149.6
Kamareddy,Black,7.49,232.0,45.0,150.0,0.74,11.9,1.28,Paddy,Plantation,3279.8
Nalgonda,Alluvial,6.77,227.0,23.0,394.0,0.59,31.1,1.74,Red Gram,Plantation,432.5
Warangal,Black,6.52,214.0,61.0,367.0,0.37,17.5,3.12,Turmeric,Plantation,1824.6
Nalgonda,Alluvial,7.64,301.0,20.0,362.0,0.7,16.9,1.72,Red Gram,Field,397.4
Karimnagar,Laterite,7.13,289.0,66.0,213.0,0.6,13.4,2.21,Soybean,Field,765.3
Kamareddy,Alluvial,5.56,157.0,60.0,132.0,0.87,11.2,1.9,Paddy,Field,3247.1
Karimnagar,Alluvial,7.12,246.0,21.0,310.0,0.9,18.5,0.41,Castor,Plantation,584.0
Rangareddy,Black,6.09,220.0,30.0,266.0,0.99,28.7,1.71,Groundnut,Plantation,1156.1
Rangareddy,Red,6.12,216.0,28.0,145.0,1.07,25.1,1.43,Sugarcane,Plantation,51759.2
Rangareddy,Red,7.87,240.0,73.0,110.0,0.89,37.1,1.79,Rice,Plantation,4005.5
Warangal,Alluvial,6.5,157.0,57.0,153.0,1.02,33.7,1.31,Maize,Cash,2420.9
Rangareddy,Black,7.96,164.0,62.0,254.0,0.53,10.2,2.42,Rice,Plantation,3292.5
Warangal,Red,6.51,185.0,76.0,211.0,0.4,22.8,1.94,Red Gram,Plantation,424.0
Nalgonda,Laterite,8.18,218.0,34.0,257.0,0.8,15.4,1.86,Soybean,Cash,782.4
Medak,Laterite,7.59,218.0,30.0,356.0,0.41,16.9,2.54,Groundnut,Field,891.8
Nizamabad,Laterite,7.66,254.0,68.0,97.0,0.65,29.1,2.6,Sugarcane,Cash,62022.8
Nizamabad,Red,5.67,188.0,26.0,92.0,0.65,39.5,2.02,Sunflower,Cash,445.2
Medak,Red,8.05,289.0,65.0,220.0,0.48,29.7,2.6,Green Gram,Field,273.3
Medak,Black,7.16,265.0,45.0,290.0,1.18,12.6,0.99,Bajra,Cash,727.1
Nizamabad,Black,6.9,275.0,25.0,109.0,0.56,34.9,2.94,Bengal Gram,Cash,441.0
Mahbubnagar,Black,7.14,183.0,85.0,264.0,0.53,22.2,0.47,Cotton,Plantation,1515.5
Hyderabad,Laterite,7.87,288.0,60.0,302.0,1.17,26.9,2.5,Black Gram,Cash,341.6
Medak,Red,6.8,194.0,47.0,332.0,0.5,31.0,2.59,Sesame,Cash,222.0
Adilabad,Laterite,6.17,166.0,67.0,343.0,0.37,37.9,1.6,Bengal Gram,Field,450.6
Mahbubnagar,Black,8.06,266.0,84.0,240.0,0.48,32.1,2.81,Sorghum,Field,1193.4
Khammam,Laterite,5.92,168.0,84.0,296.0,0.9,28.4,2.48,Chilli,Field,1878.6
Nalgonda,Laterite,6.83,318.0,83.0,358.0,0.74,39.5,2.94,Red Gram,Cash,419.8
Medak,Black,5.65,286.0,53.0,253.0,0.75,21.8,2.24,Groundnut,Cash,1188.7
Jagtial,Alluvial,6.35,151.0,67.0,201.0,0.39,20.8,2.78,Groundnut,Plantation,914.4
Mahbubnagar,Alluvial,8.09,208.0,33.0,216.0,0.68,32.6,1.26,Bajra,Cash,635.1
Medak,Black,8.14,267.0,77.0,311.0,1.02,26.7,2.76,Sorghum,Field,1479.3
Jagtial,Black,6.78,152.0,50.0,123.0,1.1,28.9,1.78,Black Gram,Cash,290.5
Warangal,Red,6.58,267.0,24.0,340.0,0.73,28.9,1.52,Black Gram,Cash,327.4
Warangal,Laterite,6.43,220.0,45.0,297.0,0.85,27.3,2.13,Chilli,Field,1910.5
Mahbubnagar,Laterite,6.38,237.0,74.0,223.0,0.37,28.4,1.56,Sugarcane,Field,60456.7
Nalgonda,Alluvial,7.2,247.0,79.0,103.0,0.45,16.8,1.12,Green Gram,Plantation,271.9
Kamareddy,Alluvial,6.23,226.0,80.0,196.0,0.83,39.0,1.41,Groundnut,Field,1009.5
Khammam,Laterite,8.04,269.0,26.0,133.0,0.39,11.9,2.83,Chilli,Field,1115.8
Nizamabad,Red,5.78,255.0,26.0,378.0,0.65,16.9,2.4,Castor,Plantation,478.5
Warangal,Black,5.58,263.0,80.0,184.0,0.73,39.2,1.8,Red Gram,Plantation,428.8
Jagtial,Black,7.1,228.0,72.0,361.0,0.69,29.2,1.78,Bengal Gram,Cash,471.2
Hyderabad,Alluvial,6.33,220.0,31.0,83.0,0.77,32.7,0.57,Green Gram,Cash,291.2
Jagtial,Alluvial,8.06,231.0,21.0,218.0,0.56,16.9,0.17,Bengal Gram,Field,363.5
Warangal,Alluvial,6.57,178.0,72.0,205.0,0.64,17.9,1.44,Turmeric,Plantation,1980.1
Medak,Laterite,6.27,276.0,77.0,212.0,1.07,15.5,1.03,Castor,Plantation,542.8
Jagtial,Alluvial,6.01,153.0,23.0,251.0,0.47,13.1,0.97,Castor,Plantation,379.8
Hyderabad,Black,5.54,187.0,49.0,331.0,0.75,21.1,2.28,Paddy,Cash,3608.6
Karimnagar,Red,6.22,217.0,58.0,138.0,1.11,17.5,1.31,Rice,Field,4278.5
Jagtial,Black,6.54,316.0,37.0,398.0,0.48,32.1,0.44,Sorghum,Cash,1324.3
Mahbubnagar,Laterite,5.93,274.0,72.0,256.0,0.41,24.4,1.06,Bengal Gram,Field,469.0
Khammam,Red,6.14,224.0,21.0,334.0,0.83,21.9,0.89,Paddy,Plantation,4273.4
Rangareddy,Black,6.5,165.0,31.0,109.0,0.86,37.9,3.19,Paddy,Field,3434.9
Karimnagar,Red,5.84,190.0,89.0,332.0,0.98,34.2,1.49,Sorghum,Field,1457.9
Nalgonda,Black,6.18,157.0,69.0,259.0,0.79,24.7,1.88,Chilli,Cash,1585.7
Rangareddy,Laterite,7.84,252.0,80.0,131.0,0.78,23.5,2.65,Chilli,Cash,1608.0
